"CustomerID,Churn_Probability_%"
"5501-TVMGM,26.0"
"3365-SAIGS,26.0"
"6537-QLGEX,26.0"
"6267-DCFFZ,26.0"
"0420-HLGXF,25.8"
"0674-EYYZV,25.8"
"0722-SVSFK,25.8"
"7315-WYOAW,25.8"
"3005-TYFRD,25.8"
"9919-KNPOO,25.8"
"5666-CYCYZ,25.8"
"5119-KEPFY,25.6"
"9058-MJLZC,25.6"
"0365-BZUWY,25.6"
"2325-NBPZG,25.6"
"1575-KRZZE,25.6"
"2969-QWUBZ,25.6"
"1051-GEJLJ,25.56"
"2209-XADXF,25.4"
"3422-GALYP,25.4"
"5226-NOZFC,25.4"
"0187-QSXOE,25.4"
"3352-ALMCK,25.2"
"9822-OAOVB,25.2"
"6362-QHAFM,25.2"
"4450-DLLMH,25.2"
"4815-GBTCD,25.2"
"4062-HBMOS,25.2"
"5628-FCGYG,25.2"
"1077-HUUJM,25.2"
"0430-IHCDJ,25.2"
"6923-JHPMP,25.2"
"2277-VWCNI,25.2"
"3703-KBKZP,25.0"
"4741-WWJQZ,25.0"
"5067-XJQFU,25.0"
"6856-RAURS,25.0"
"7901-TBKJX,25.0"
"2507-QZPQS,25.0"
"5091-HFAZW,25.0"
"2674-MIAHT,24.8"
"5760-FXFVO,24.8"
"2853-CWQFQ,24.8"
"6817-WTYHE,24.8"
"4067-HLYQI,24.8"
"5117-IFGPS,24.8"
"7206-PQBBZ,24.8"
"2480-JZOSN,24.65"
"2675-DHUTR,24.6"
"6833-JMZYP,24.6"
"2523-EWWZL,24.6"
"5453-AXEPF,24.6"
"0374-IOEGQ,24.6"
"8543-MSDMF,24.6"
"3317-VLGQT,24.4"
"5995-SNNEW,24.4"
"8064-RAVOH,24.4"
"6339-DKLMK,24.4"
"5331-RGMTT,24.4"
"5044-LRQAQ,24.2"
"6030-REHUX,24.2"
"6260-ONULR,24.2"
"3951-NJCVI,24.2"
"4223-WOZCM,24.2"
"3234-VKACU,24.2"
"4661-NJEUX,24.1"
"9643-AVVWI,24.0"
"7233-DRTRF,24.0"
"0623-GDISB,24.0"
"1910-FMXJM,24.0"
"2273-QCKXA,24.0"
"1016-DJTSV,24.0"
"3955-JBZZM,24.0"
"5956-YHHRX,24.0"
"4884-ZTHVF,24.0"
"2187-PKZAY,24.0"
"8266-VBFQL,24.0"
"5701-YVSVF,23.8"
"5989-PGKJB,23.8"
"7339-POGZN,23.8"
"3211-AAPKX,23.8"
"4291-HPAXL,23.63"
"1156-ZFYDO,23.61"
"3932-IJWDZ,23.6"
"7733-UDMTP,23.6"
"7379-FNIUJ,23.6"
"7246-ZGQDF,23.6"
"2800-QQUSO,23.6"
"1335-NTIUC,23.6"
"3312-UUMZW,23.6"
"1608-GMEWB,23.6"
"6185-TASNN,23.6"
"3629-ZNKXA,23.6"
"1226-IENZN,23.6"
"6860-YRJZP,23.6"
"9741-YLNTD,23.6"
"9885-AIBVB,23.4"
"5288-AHOUP,23.4"
"8544-GOQSH,23.4"
"1453-RZFON,23.4"
"9821-BESNZ,23.4"
"2018-QKYGT,23.4"
"4291-SHSBH,23.4"
"8645-KWHJO,23.2"
"8242-SOQUO,23.2"
"3522-CDKHF,23.2"
"9696-RMYBA,23.2"
"2504-DSHIH,23.2"
"2519-LBNQL,23.2"
"8356-WUAOJ,23.2"
"1307-TVUFB,23.2"
"5207-PLSTK,23.2"
"3278-FSIXX,23.1"
"4727-MCYZG,23.0"
"5271-DBYSJ,23.0"
"2675-OTVVJ,23.0"
"9279-CJEOJ,23.0"
"3588-WSTTJ,22.8"
"7517-LDMPS,22.8"
"7442-YGZFK,22.8"
"4257-GAESD,22.8"
"6242-MBHPK,22.8"
"3914-FDRHP,22.8"
"9633-XQABV,22.8"
"6022-KOUQO,22.8"
"9121-PHQSR,22.8"
"8180-AKMJV,22.8"
"0927-CNGRH,22.76"
"9631-XEYKE,22.6"
"6986-IXNDM,22.6"
"0958-YHXGP,22.6"
"8903-WMRNW,22.6"
"1685-BQULA,22.4"
"5365-LLFYV,22.4"
"3162-KKZXO,22.4"
"7586-ZATGZ,22.4"
"0432-CAJZV,22.4"
"2452-KDRRH,22.4"
"2637-FKFSY,22.4"
"5141-ZUVBH,22.4"
"5399-ZIMKF,22.2"
"9552-TGUZV,22.2"
"9992-UJOEL,22.2"
"3489-HHPFY,22.2"
"0749-IRGQE,22.2"
"9500-LTVBP,22.2"
"2959-FENLU,22.2"
"3714-NTNFO,22.2"
"4553-DVPZG,22.2"
"7181-OQCUT,22.2"
"0531-ZZJWQ,22.2"
"9093-FPDLG,22.2"
"8132-YPVBX,22.2"
"1028-FFNJK,22.0"
"1482-OXZSY,22.0"
"1101-SSWAG,22.0"
"1319-YLZJG,22.0"
"8393-JMVMB,21.86"
"4566-NECEV,21.8"
"3413-BMNZE,21.8"
"9398-MMQTO,21.8"
"9133-AYJZG,21.8"
"3452-ABWRL,21.8"
"0177-PXBAT,21.8"
"3597-MVHJT,21.8"
"9208-OLGAQ,21.8"
"3223-DWFIO,21.6"
"0817-HSUSE,21.6"
"0186-CAERR,21.6"
"6078-VESFR,21.6"
"7422-WNBTY,21.6"
"7426-RHZGU,21.6"
"6158-HDPXZ,21.6"
"0018-NYROU,21.6"
"5392-AKEMH,21.6"
"4301-VVZKA,21.6"
"4634-JLRJT,21.57"
"4482-EWFMI,21.53"
"1845-ZLLIG,21.44"
"8714-CTZJW,21.4"
"0644-OQMDK,21.4"
"8757-TFHHJ,21.4"
"3351-NGXYI,21.4"
"0052-DCKON,21.4"
"5027-YOCXN,21.4"
"6143-JQKEA,21.4"
"0620-DLSLK,21.4"
"0848-ZGQIJ,21.2"
"4536-PLEQY,21.2"
"4488-KQFDT,21.2"
"6173-GOLSU,21.2"
"4581-LNWUM,21.2"
"4693-VWVBO,21.2"
"5382-SOYZL,21.2"
"9334-GWGOW,21.2"
"5019-GQVCR,21.2"
"1013-QCWAM,21.2"
"3916-NRPAP,21.2"
"0682-USIXD,21.2"
"9402-ORRAH,21.2"
"3453-RTHJQ,21.2"
"8728-SKJLR,21.2"
"0225-ZORZP,21.2"
"9819-FBNSV,21.2"
"2832-KJCRD,21.0"
"0491-KAPQG,21.0"
"9714-EDSUC,21.0"
"9129-UXERG,21.0"
"3349-ANQNH,21.0"
"5339-PXDVH,21.0"
"7421-ZLUPA,21.0"
"8212-DJRCH,21.0"
"2974-GGUXS,21.0"
"9099-FTUHS,21.0"
"7508-SMHXL,20.8"
"5599-HVLTW,20.8"
"1689-YQBYY,20.8"
"2123-AGEEN,20.8"
"0480-BIXDE,20.8"
"3312-ZWLGF,20.6"
"3196-NVXLZ,20.6"
"7245-JMTTQ,20.6"
"2080-CAZNM,20.6"
"3748-FVMZZ,20.6"
"0508-OOLTO,20.6"
"9693-XMUOB,20.6"
"7951-VRDVK,20.6"
"5816-QVHRX,20.6"
"2468-SJFLM,20.5"
"4013-GUXND,20.49"
"8617-ENBDS,20.4"
"2077-MPJQO,20.4"
"5016-IBERQ,20.4"
"1548-ARAGG,20.4"
"5312-UXESG,20.4"
"8104-OSKWT,20.4"
"6741-EGCBI,20.4"
"5440-VHLUL,20.4"
"2809-ZMYOQ,20.4"
"4282-MSACW,20.4"
"9921-QFQUL,20.2"
"0129-KPTWJ,20.2"
"2582-FFFZR,20.2"
"2135-DQWAQ,20.2"
"9638-JIQYA,20.2"
"1600-DILPE,20.2"
"6377-WHAOX,20.2"
"8217-QYOHV,20.2"
"3452-GWUIN,20.2"
"0015-UOCOJ,20.2"
"2495-KZNFB,20.2"
"8648-PFRMP,20.2"
"1421-HCERK,20.2"
"9547-ITEFG,20.2"
"3088-LHEFH,20.2"
"3966-HRMZA,20.17"
"2960-NKRSO,20.0"
"3420-YJLQT,20.0"
"2905-KFQUV,20.0"
"0730-KOAVE,20.0"
"5692-ICXLW,20.0"
"4128-ETESU,20.0"
"5445-GLVOT,20.0"
"9365-SRSZE,20.0"
"6728-VOIFY,20.0"
"2573-GYRUU,20.0"
"7389-KBFIT,20.0"
"2920-RNCEZ,19.9"
"4537-DKTAL,19.8"
"8035-PWSEV,19.8"
"9348-YVOMK,19.8"
"4948-WBBKL,19.8"
"7126-RBHSD,19.8"
"5405-ZMYXQ,19.8"
"6844-DZKRF,19.8"
"7176-WIONM,19.8"
"9799-CAYJJ,19.8"
"4186-ZBUEW,19.8"
"7460-ITWWP,19.8"
"4526-ZJJTM,19.8"
"7145-FEJWU,19.8"
"9944-AEXBM,19.8"
"7617-EYGLW,19.75"
"3956-MGXOG,19.6"
"9469-WEJBT,19.6"
"4546-FOKWR,19.6"
"7562-UXTPG,19.6"
"5071-FBJFS,19.6"
"3082-VQXNH,19.6"
"3717-OEAUQ,19.51"
"1932-UEDCX,19.4"
"9699-UBQFS,19.4"
"7718-RXDGG,19.4"
"1302-UHBDD,19.4"
"9432-VOFYX,19.4"
"6137-NICCO,19.4"
"2921-XWDJH,19.4"
"4690-PKDQG,19.2"
"9708-HPXWZ,19.2"
"5119-NZPTV,19.2"
"9626-WEQRM,19.2"
"7855-DIWPO,19.2"
"7880-XSOJX,19.2"
"6692-YQHXC,19.2"
"8272-ONJLV,19.2"
"5201-FRKKS,19.2"
"8990-ZXLSU,19.2"
"7814-LEEVE,19.05"
"9588-OZDMQ,19.0"
"5935-FCCNB,19.0"
"0080-OROZO,19.0"
"0771-WLCLA,19.0"
"0840-DFEZH,19.0"
"3030-YDNRM,19.0"
"4853-OITSN,19.0"
"7978-DKUQH,19.0"
"3566-HJGPK,18.86"
"9979-RGMZT,18.8"
"9494-MRNYX,18.8"
"6538-POCHL,18.8"
"3594-KADLU,18.8"
"7020-OZKXZ,18.8"
"0921-OHLVP,18.8"
"8270-RKSAP,18.8"
"9112-WSNPU,18.8"
"9537-VHDTA,18.8"
"6645-MXQJT,18.8"
"7048-GXDAY,18.8"
"9169-BSVIN,18.8"
"3055-MJDSB,18.8"
"9927-DSWDF,18.8"
"1194-HVAIF,18.8"
"9137-NOQKA,18.8"
"5032-MIYKT,18.73"
"8687-BAFGU,18.7"
"5429-LWCMV,18.6"
"6175-IRFIT,18.6"
"1928-BXYIV,18.6"
"1754-GKYPY,18.6"
"5348-CAGXB,18.6"
"0060-FUALY,18.6"
"2000-MPKCA,18.6"
"9773-PEQBZ,18.6"
"3688-FTHLT,18.6"
"4718-DHSMV,18.6"
"7853-OETYL,18.6"
"2085-BOJKI,18.6"
"3481-JHUZH,18.6"
"7272-QDCKA,18.6"
"2603-HVKCG,18.6"
"7077-XJMET,18.6"
"5605-IYGFG,18.6"
"1996-DBMUS,18.6"
"9700-ZCLOT,18.46"
"8095-WANWK,18.4"
"4123-DVHPH,18.4"
"3737-XBQDD,18.4"
"5285-MVEHD,18.4"
"4343-EJVQB,18.4"
"1261-FWTTE,18.4"
"9356-AXGMP,18.4"
"2101-RANCD,18.4"
"5600-PDUJF,18.4"
"5606-AMZBO,18.4"
"0581-BXBUB,18.4"
"3130-ICDUP,18.4"
"0315-LVCRK,18.4"
"4770-UEZOX,18.4"
"0310-VQXAM,18.4"
"2692-BUCFV,18.4"
"8541-QVFKM,18.4"
"4232-JGKIY,18.2"
"9617-INGJY,18.2"
"6559-PDZLR,18.2"
"2371-JQHZZ,18.2"
"4462-CYWMH,18.2"
"9508-ILZDG,18.2"
"2792-LSHWX,18.2"
"5168-MSWXT,18.2"
"2800-VEQXM,18.0"
"5183-SNMJQ,18.0"
"9962-BFPDU,18.0"
"4716-HHKQH,18.0"
"2501-XWWTZ,18.0"
"9529-OFXHY,18.0"
"2739-CACDQ,18.0"
"8778-LMWTJ,18.0"
"0585-EGDDA,18.0"
"1552-AAGRX,18.0"
"9732-EQMWY,18.0"
"5780-INQIK,18.0"
"0577-WHMEV,18.0"
"5899-OUVKV,18.0"
"4238-JSSWH,18.0"
"6360-SVNWV,17.8"
"7134-MJPDY,17.8"
"9168-INPSZ,17.8"
"6128-AQBMT,17.8"
"2625-TRCZQ,17.8"
"6968-GMKPR,17.8"
"5916-QEWPT,17.8"
"5371-VYLSX,17.8"
"3620-MWJNE,17.8"
"7714-YXSMB,17.8"
"9903-LYSAB,17.8"
"6103-BOCOU,17.8"
"4636-JGAAI,17.8"
"1866-OBPNR,17.68"
"0311-QYWSS,17.6"
"8979-CAMGB,17.6"
"0082-OQIQY,17.6"
"0141-YEAYS,17.6"
"6416-YJTTB,17.6"
"0447-RXSGD,17.6"
"9796-BPKIW,17.6"
"2988-PLAHS,17.6"
"9108-EJFJP,17.6"
"0147-ESWWR,17.6"
"8468-EHYJA,17.6"
"3509-GWQGF,17.6"
"4188-FRABG,17.6"
"2587-EKXTS,17.6"
"0411-EZJZE,17.4"
"3845-FXCYS,17.4"
"6726-WEXXK,17.4"
"6402-EJMWF,17.4"
"1173-XZPYF,17.4"
"3446-QDSZF,17.4"
"8903-XEBGX,17.4"
"3665-JATSN,17.4"
"8309-IEYJD,17.4"
"2476-YGEFM,17.4"
"9752-ZNQUT,17.4"
"9003-CPATH,17.4"
"6847-KJLTS,17.4"
"5122-CYFXA,17.4"
"6557-BZXLQ,17.4"
"7787-BNTZM,17.4"
"3807-XHCJH,17.27"
"0439-IFYUN,17.2"
"3761-FLYZI,17.2"
"0916-QOFDP,17.2"
"4686-UXDML,17.2"
"5018-GWURO,17.2"
"2043-WVTQJ,17.2"
"8486-AYEQH,17.2"
"8224-DWCKX,17.2"
"8910-LEDAG,17.2"
"9717-QEBGU,17.2"
"6693-FRIRW,17.2"
"3466-RITXD,17.2"
"9576-SYUHJ,17.0"
"8584-KMVXD,17.0"
"9281-OFDMF,17.0"
"1550-EENBN,17.0"
"1100-DDVRV,17.0"
"2478-EEWWM,17.0"
"6286-SUUWT,17.0"
"5973-EJGDP,17.0"
"8818-DOPVL,17.0"
"8242-JSVBO,16.8"
"8058-DMYRU,16.8"
"2604-IJPDU,16.8"
"0570-BFQHT,16.8"
"2673-CXQEU,16.8"
"3014-WJKSM,16.8"
"5074-FBGHB,16.8"
"7967-HYCDE,16.8"
"2378-HTWFW,16.8"
"2709-UQGNP,16.8"
"0419-YAAPX,16.8"
"0114-PEGZZ,16.8"
"6259-WJQLC,16.8"
"4299-SIMNS,16.8"
"5035-BVCXS,16.6"
"4860-IJUDE,16.6"
"9450-TRJUU,16.6"
"7878-JGDKK,16.6"
"6815-ABQFQ,16.6"
"5046-NUHWD,16.6"
"0666-UXTJO,16.6"
"0725-CXOTM,16.6"
"4137-BTIKL,16.6"
"4468-YDOVK,16.6"
"4760-THGOT,16.6"
"8849-AYPTR,16.6"
"8313-KTIHG,16.6"
"2916-BQZLN,16.6"
"2832-SCUCO,16.6"
"3956-CJUST,16.4"
"9767-FFLEM,16.4"
"5879-SESNB,16.4"
"7401-RUBNK,16.4"
"4976-LNFVV,16.4"
"7567-ECMCM,16.4"
"3545-CNWRG,16.4"
"5533-NHFRF,16.4"
"4480-QQRHC,16.4"
"9367-OIUXP,16.4"
"2607-FBDFF,16.2"
"0708-LGSMF,16.2"
"5857-TYBCJ,16.2"
"7382-DFJTU,16.2"
"7055-HNEOJ,16.2"
"8311-UEUAB,16.2"
"9323-HGFWY,16.2"
"4482-FTFFX,16.2"
"9681-KYGYB,16.2"
"3197-ARFOY,16.2"
"5356-CSVSQ,16.2"
"3002-WQZWT,16.2"
"1680-VDCWW,16.2"
"2903-YYTBW,16.2"
"0093-EXYQL,16.2"
"1049-FYSYG,16.2"
"0537-QYZZN,16.2"
"5482-VXSXJ,16.2"
"1391-UBDAR,16.2"
"7504-UWHNB,16.2"
"6994-KERXL,16.2"
"6728-WYQBC,16.18"
"1428-IEDPR,16.0"
"9278-VZKCD,16.0"
"6034-YMTOB,16.0"
"2486-WYVVE,16.0"
"1173-NOEYG,16.0"
"5153-RTHKF,16.0"
"5628-RKIFK,16.0"
"0455-XFASS,16.0"
"6542-LWGXJ,15.8"
"7354-OIJLX,15.8"
"7047-FWEYA,15.8"
"9919-YLNNG,15.8"
"0196-JTUQI,15.8"
"6985-HAYWX,15.8"
"5843-TTHGI,15.8"
"4191-XOVOM,15.8"
"1215-VFYVK,15.8"
"5022-KVDQT,15.8"
"7924-GJZFI,15.8"
"4282-ACRXS,15.8"
"4130-MZLCC,15.8"
"1777-JYQPJ,15.8"
"2325-WINES,15.8"
"6637-KYRCV,15.8"
"3694-DELSO,15.6"
"1169-SAOCL,15.6"
"1935-IMVBB,15.6"
"5035-PGZXH,15.6"
"6689-VRRTK,15.6"
"0804-XBFBV,15.6"
"2674-MLXMN,15.6"
"0541-FITGH,15.6"
"0096-BXERS,15.6"
"9620-ENEJV,15.6"
"1724-IQWNM,15.6"
"1685-VAYJF,15.6"
"3890-RTCMS,15.6"
"1730-ZMAME,15.6"
"8755-IWJHN,15.6"
"0867-LDTTC,15.6"
"8654-DHAOW,15.6"
"6133-OZILE,15.4"
"0557-ASKVU,15.4"
"8250-ZNGGW,15.4"
"9274-UARKJ,15.4"
"2073-QBVBI,15.4"
"3090-LETTY,15.4"
"9667-TKTVZ,15.4"
"9584-EXCDZ,15.4"
"3771-PZOBW,15.4"
"9591-YVTEB,15.4"
"4619-EVPHY,15.4"
"2957-JIRMN,15.4"
"2040-VZIKE,15.2"
"0929-HYQEW,15.2"
"2773-OVBPK,15.2"
"4465-VDKIQ,15.2"
"8096-LOIST,15.2"
"2045-BMBTJ,15.2"
"1035-IPQPU,15.2"
"8679-LZBMD,15.2"
"3258-SANFR,15.2"
"0581-MDMPW,15.2"
"5650-YLIBA,15.2"
"8631-WUXGY,15.2"
"2080-GKCWQ,15.2"
"1456-TWCGB,15.2"
"8950-MTZNV,15.1"
"9261-WDCAF,15.0"
"2761-XECQW,15.0"
"6705-LXORM,15.0"
"9375-MHRRS,15.0"
"6549-YMFAW,15.0"
"2347-WKKAE,15.0"
"2424-WVHPL,15.0"
"6278-FEPBZ,15.0"
"3798-EPWRR,15.0"
"2798-NYLMZ,15.0"
"2826-DXLQO,15.0"
"7284-BUYEC,15.0"
"0899-LIIBW,15.0"
"9518-XXBXE,15.0"
"1212-GLHMD,15.0"
"2694-CIUMO,15.0"
"2697-NQBPF,15.0"
"6537-OTKMY,15.0"
"7044-YAACC,15.0"
"7636-OWBPG,14.8"
"6874-SGLHU,14.8"
"8660-BUETV,14.8"
"8981-FJGLA,14.8"
"7147-AYBAA,14.8"
"8490-BXHEO,14.8"
"5649-RXQTV,14.8"
"6075-SLNIL,14.8"
"6522-YRBXD,14.8"
"4070-OKWVH,14.8"
"6635-CPNUN,14.8"
"9659-QEQSY,14.8"
"1580-BMCMR,14.8"
"5129-JLPIS,14.8"
"7018-WBJNK,14.8"
"2322-VCZHZ,14.8"
"5600-KTXFM,14.73"
"4931-TRZWN,14.6"
"6591-QGOYB,14.6"
"6351-SCJKT,14.6"
"7718-UPSKJ,14.6"
"7268-IGMFD,14.6"
"2207-QPJED,14.6"
"3055-OYMSE,14.6"
"2480-EJWYP,14.6"
"9629-NHXFW,14.6"
"7128-GGCNO,14.6"
"8710-YGLWG,14.6"
"3969-GYXEL,14.6"
"4360-PNRQB,14.6"
"3587-PMCOY,14.6"
"1536-HBSWP,14.4"
"7850-VWJUU,14.4"
"0365-GXEZS,14.4"
"7964-VEXDG,14.4"
"1357-BIJKI,14.4"
"0650-BWOZN,14.4"
"0330-BGYZE,14.4"
"5522-JBWMO,14.4"
"4480-MBMLB,14.4"
"9754-CLVZW,14.4"
"4826-TZEVA,14.4"
"8734-DKSTZ,14.4"
"3373-YZZYM,14.4"
"3716-UVSPD,14.4"
"7410-OIEDU,14.4"
"1636-NTNCO,14.4"
"8819-IMISP,14.4"
"8800-JOOCF,14.2"
"4183-MYFRB,14.2"
"1442-BQPVU,14.2"
"4840-ORQXB,14.2"
"4680-KUTAJ,14.2"
"6629-LADHQ,14.2"
"5730-RIITO,14.2"
"9039-ZVJDC,14.2"
"9053-EJUNL,14.2"
"6234-PFPXL,14.2"
"5981-ZVXOT,14.2"
"5144-TVGLP,14.2"
"0139-IVFJG,14.2"
"3016-KSVCP,14.2"
"1379-FRVEB,14.2"
"1384-RCUXW,14.2"
"2480-SQIOB,14.0"
"7326-RIGQZ,14.0"
"3797-FKOGQ,14.0"
"2181-UAESM,14.0"
"6469-MRVET,14.0"
"0471-ARVMX,14.0"
"4983-CCWMC,14.0"
"7225-CBZPL,14.0"
"9408-HRXRK,14.0"
"8720-RQSBJ,14.0"
"6749-UTDVX,14.0"
"3898-GUYTS,14.0"
"0380-NEAVX,14.0"
"5302-BDJNT,14.0"
"7396-VJUZB,14.0"
"5968-XQIVE,14.0"
"9494-BDNNC,14.0"
"5734-EJKXG,14.0"
"1215-FIGMP,14.0"
"2460-NGXBJ,14.0"
"6818-DJXAA,14.0"
"4273-MBHYA,14.0"
"3589-PPVKW,13.85"
"2386-OWURY,13.8"
"2257-BOVXD,13.8"
"1767-TGTKO,13.8"
"1202-KKGFU,13.8"
"7130-YXBRO,13.8"
"0999-QXNSA,13.8"
"8963-JLGJT,13.8"
"6797-UCJHZ,13.8"
"5136-GFPMB,13.8"
"5802-ADBRC,13.8"
"0376-OIWME,13.8"
"2267-WTPYD,13.8"
"8375-KVTHK,13.8"
"3893-JRNFS,13.8"
"6168-YBYNP,13.8"
"6878-GGDWG,13.8"
"4329-YPDDQ,13.8"
"8008-ESFLK,13.8"
"7394-LWLYN,13.66"
"1895-QTKDO,13.6"
"7501-VTYLJ,13.6"
"4010-YLMVT,13.6"
"7622-NXQZR,13.6"
"0988-JRWWP,13.6"
"7668-XCFYV,13.6"
"7159-FVYPK,13.6"
"1047-NNCBF,13.6"
